"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"69894353",2026,1,"ATP Tour",1767320100,"02 Jan 2026","United Cup ATP","","hard",1,"FINISHED","FINISHED","Munar J.","Baez S.","292653","956292",36,45,1395,1155,2,0,2,4,6,4,6,"","","","","","",1.17,5,1.25,3.75,7,0,0,2,60,59,41,40,33,67,33,67
"75839774",2026,1,"ATP Tour",1767352800,"02 Jan 2026","United Cup ATP","","hard",1,"FINISHED","FINISHED","Tsitsipas S.","Mochizuki S.","249143","591935",34,100,1425,647,1,2,0,6,3,6,4,"","","","","","",1.36,3.2,1.44,2.63,8,1,2,3,64,58,42,36,38,50,50,63
"69081935",2026,1,"ATP Tour",1767399004,"03 Jan 2026","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Carreno-Busta P.","Bellucci M.","771361","928358",89,74,681,766,1,2,1,6,4,2,6,7,6,"","","","",1.78,2.04,1.83,1.98,8,13,2,3,69,68,32,31,40,50,50,60
"86943844",2026,1,"ATP Tour",1767399004,"03 Jan 2026","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Cazaux A.","Landaluce M.","804638","574441",66,134,848,455,1,2,0,6,3,6,2,"","","","","","",1.48,2.68,1.57,2.42,9,3,1,6,80,52,48,20,38,0,0,63
"27212521",2026,1,"ATP Tour",1767399004,"03 Jan 2026","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Shevchenko A.","Collignon R.","345517","273841",95,87,662,704,2,0,2,5,7,4,6,"","","","","","",3.04,1.38,2.54,1.52,3,12,0,6,60,63,37,40,50,44,56,50
"25065010",2026,1,"ATP Tour",1767403500,"03 Jan 2026","United Cup ATP","","hard",1,"FINISHED","FINISHED","Bergs Z.","Zhang Z.","192912","149795",43,415,1218,115,2,1,2,7,6,6,7,5,7,"","","","",1.62,2.3,1.67,2.1,18,12,5,0,69,74,26,31,0,10,90,0
"25734623",2026,1,"ATP Tour",1767403800,"03 Jan 2026","Brisbane ATP - Qualification","","hard",1,"FINISHED","CANCELED","O'Connell C.","Bautista-Agut R.","486945","467387",115,92,546,670,"","","","","","","","","","","","","",1.7,2.01,1.81,1.87,0,0,0,0,0,0,0,0,0,0,0,0
"23699691",2026,1,"ATP Tour",1767405000,"03 Jan 2026","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Fearnley J.","Sweeny D.","313667","133761",71,181,787,323,2,0,2,1,6,6,7,"","","","","","",1.48,2.68,1.57,2.42,7,3,6,1,53,63,37,47,40,57,43,60
"51661470",2026,1,"ATP Tour",1767405600,"03 Jan 2026","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Quinn E.","Bonzi B.","167398","670925",70,94,802,667,1,2,1,4,6,6,3,6,3,"","","","",1.83,1.98,1.83,1.98,10,7,0,8,77,60,40,23,29,100,0,71
"80583917",2026,1,"ATP Tour",1767408600,"03 Jan 2026","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","O'Connell C.","Basilashvili N.","486945","309924",115,109,546,573,1,2,0,6,2,6,3,"","","","","","","","","","",9,8,0,10,73,47,53,27,100,100,0,0
"51587833",2026,1,"ATP Tour",1767413100,"03 Jan 2026","United Cup ATP","","hard",1,"FINISHED","FINISHED","Rinderknech A.","Wawrinka S.","954504","278192",29,157,1540,397,2,1,2,7,5,6,7,6,7,"","","","",1.44,2.75,1.53,2.38,17,6,5,2,74,70,30,26,50,14,86,50
"78403696",2026,1,"ATP Tour",1767413400,"03 Jan 2026","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Atmane T.","Hanfmann Y.","198064","619204",63,103,855,631,1,2,0,6,4,7,6,"","","","","","",1.92,1.77,1.88,1.8,10,10,0,1,76,69,31,24,40,50,50,60
"98159042",2026,1,"ATP Tour",1767416100,"03 Jan 2026","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Schoolkate T.","Duckworth J.","429614","656194",99,86,649,704,2,0,2,3,6,2,6,"","","","","","",2.15,1.7,2.04,1.78,9,5,5,2,54,77,23,46,0,75,25,0
"50305414",2026,1,"ATP Tour",1767420000,"03 Jan 2026","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Hijikata R.","Misolic F.","981922","304009",114,79,556,726,1,2,0,6,3,6,3,"","","","","","",1.48,2.68,1.57,2.42,11,5,3,2,63,51,49,37,36,14,86,64
